Date,Yak,emotion
2023-11-27,"Nobody staged the capitol riot why do people keep saying that?? Those videos of the police uncuffing and fistbumping the protestors are obviously deepfake propaganda, probably from Russia, just like that fake hunter biden laptop story putin made up", confusion 
2023-11-19,does anywhere on grounds have desktops or other computers i could use ? my 6 yr old macbook decided to shit itself, disappointment
2023-11-20,oh so now everyones coming to clark, Surprise
2023-11-21,Does anyone know what an A is in calc 2? They just say if its above a 90 it can be an A- A or A+ which is stupid, confusion
2023-11-22,Whats with all the trumpy and third party posts recently? Im convinced its the same like two people with nothing better to do, Disapproval
2023-11-23,why are none of my roommates back?? did i miss something?, curiosity
2023-11-20,my bf goes to jmu so ive educated all his friends on reading days and saturday finals and they were fascinated. oh and academic rigor," Pride. 

This word fits the sentiment you have expressed in your statement, as it conveys a sense of satisfaction and happiness at the positive impression you have made on your boyfriend's friends. "
2023-11-21,you guys better be ready to make friends the fdoc next semester because im coming., anticipation 
2023-11-22,IM FINALLY FREE!!!!!!!! (took the mcat this summer so have not had a single academic break since january), Relief. 
2023-11-23,Ummm Dave needs to curve that shit, Disapproval
2023-11-24,from the bottom of my heart fuck you dave, Disapproval
2023-11-26,whats going on at scott stadium, excitement
2023-11-27,How am I supposed to live laugh love in these conditions? (the buses switched from a 10 minute to 20 minute schedule), sadness 
2023-11-19,"What is going on at the football stadium? The big screen says VHSL, are high schoolers using our field?", surprise
2023-11-20,Ohill not having hot coffee rn is actually criminal, Disapproval
2023-11-21,Who the hell is that dude playing a recorder in front of bodos, Embarrassment 
2023-11-22,Its so annoying that my TAs final orgo lab was open note my mine is not only close note but we dont get any tables for IR or any formula sheets, Annoyance
2023-11-23,When he's on dating apps a month after breaking up w you, Disapproval
2023-11-24,getting real nervous for my 2 pm, Nervousness
2023-11-25,Why tf did nobody tell me course evaluations were due yesterday?, annoyance 
2023-11-26,Yall excited for the new Playboi Carti album? The rollout is finally happening after 3 years, excitement
2023-11-27,Are there classes at UVA that study trees and plants?, curiosity
2023-11-19,"Anyone else have an intense hatred of men who use bud, buddy, or pal?", Disgust
2023-11-20,Is nau busy rn or will i find a seat, uncertainty
2023-11-21,I want a redhead gf," Desire. 

This is a statement of longing for something they do not have but want, and desire captures the feeling of longing for something unattained. "
2023-11-22,"Biden is just paying for votes with student loan cancellation

Uh yeah? Thats what democracy is? Leaders helping people, people in turn voting for leaders who help them?", Approval 
2023-11-23,does A vs A+ change GPA?, confusion 
2023-11-24,Is the chick fil a really closed, disappointment
2023-11-25,How do yall learn to let go?, Relief 
2023-11-30,whats that uva resource where u can find free Washington street and New York Times articles?," Neutral, curiosity "
2023-11-30,couples: are study dates a thing?, confusion
2023-11-30,Why so many cops on Alderman?, Surprise
2023-11-28,"*remembers the war*

:(", Sadness. 
2023-11-29,Why is Quizlet down when Im trying to lock in, disappointment
2023-11-30,Man fuck Tarzan, Disgust
2023-11-28,"what plate of food, if it just appeared right in front of you, are you eating with no questions and no hesitation", Desire. 
2023-11-29,ALDERMAN IS OPENING ON JANUARY 8, excitement
2023-11-30,"I love when we dont get answer keys to practice problems ! Like okay, Ill just get it wrong !", annoyance 
2023-11-28,You know the fit is hard when the female friends ask if your girlfriend dressed you, Embarrassment
2023-11-29,"If you HAVE to join corporate America, do NOT listen to them when they say do not discuss your pay with others.  YOU DESERVE TO BE PAID A FAIR WAGE!!", Disapproval
2023-11-30,"Its been like four hours but I walked by someone earlier while they got a phone call about getting into law school and they joy they had talking on the phone improved my entire day. Proud of you, random person", Joy
2023-11-28,was anyone else obsessed with zoella, Admiration. 
2023-11-29,I miss my first year roomie, sadness 
2023-11-30,"I grew up loosely Christian, not going to church but a family that believed in it. I wear a cross because I believe in god but not necessarily the Christian version, and I believe  theres truth in some aspects of all religious. What do I call myself?", curiosity
2023-11-28,YOU CANT YOU CANT CATCH ME NOW, amusement 
2023-11-29,I got that dracula flow, excitement
2023-11-30,college is accepting that sometimes your rough draft is gonna be your final draft, Neutral. 
2023-11-28,maybe the real final exam is the friends we make along the way, Optimism
2023-11-29,"do guys like short girls 
Im talking 51 411 short", curiosity
2023-11-30,Are people going out tn?, curiosity
2023-11-28,Just breathe everything will be alright, Relief
2023-11-29,Has anyone else been asked out by that guy at Clark, Embarrassment
2023-11-30,"Ladies, what are some obvious things guys can do to make themselves more attractive that they never seem to do?", Embarrassment
2023-11-28,Honor snacks at Clem are making my day, Joy
2023-11-29,Why is scott stadium blue, curiosity
2023-12-1,How is it legal to have a final from 7-10pm on a Friday or Saturday night. Suing for cruel and unusual punishment, Disapproval
2023-12-2,my bf goes to jmu so ive educated all his friends on reading days and saturday finals and they were fascinated. oh and academic rigor," Pride. 

This word fits the sentiment you have expressed in your statement, as it conveys a sense of satisfaction and happiness at the positive impression you have made on your boyfriend's friends. "
2023-12-3,saturday exam gang its our time, excitement
2023-12-4,How do u guys stay motivated I keep going on my phone instead of studying, Disapproval
2023-12-5,2 exams on saturday is absolutely DIABOLICAL, disappointment
2023-12-6,this is my first saturday exam in 4 years of being at uva, nervousness
2023-12-7,Oh my god the biol 2100 final single handedly FUCKED my gpa, Disappointment. 
2023-12-8,"A C+ in bio is so embarrassing, bye", Embarrassment
2023-12-9,"Im so dumb. 
Failed an exam for a course I actually think I did pretty well in. Probably going to fail the whole course now. I dont even know whats wrong with me.", Disappointment
2023-12-1,Just finished writing my term paper and decided to run it through AI detectors just to be safe and theyre throwing false positives. Do I have to write with the prose of an elementary school student to not get flagged?, annoyance 
2023-12-2,"im a fourth year and, while all finals periods were tough, this has to be my freaking hardest finals period of my life.", disappointment
2023-12-3,The finals fairy pig is a hoax. I upvoted and still did not pass my final., Disappointment
2023-12-5,the time before a final literally feels like the countdown before death, Fear
2023-12-5,Mazurek please dont make this exam some trash, Disapproval
2023-12-6,Neurobio exam 3 answers make no sense. THAT IS NOT WHAT YOU SAID IN CLASS GIVE US CREDIT. It pisses me off so much that he contradicts himself so much and expects us to just know which is the right thing., Disapproval
2023-12-7,good morning to my last minute studying 9 am final warriors, nervousness
2023-12-8,Freaking out about Phys 2010, fear
2023-12-9,finals have turned me nocturnal, sadness 
2023-12-1,If there are no more blue books at the bookstore I am going to scream and burst into flames, Disappointment
2023-12-2,Finals make me wish I wasnt single more than anything, Desire
2023-12-3,She derive on my polynomial till i slope (i failed calc today), disappointment
2023-12-4,youd think this would go without saying but if someone lets you use their bathroom please dont snoop through their medicine cabinets, Disapproval
2023-12-5,Pissing and shitting myself for my final tomorrow I cant sleep, Fear
2023-12-6,So disgusted by the US. Vetoing against a ceasefire is disgusting. It doesnt matter if youre Israeli or Palestinian. This should be disgusting for both, Disgust
2023-12-7,why was everyone leaving the apma 2120 final so early?? it was so hard, Disappointment
2023-12-8,I do not know what day of the week it is anymore., Disappointment. 
2023-12-9,i'm sorry but if you are a full ass adult and cannot cover your mouth when you cough you need to be kicked out of school here and exiled, Disapproval
2023-12-1,For those who got As in orgo study advice please, approval
2023-12-2,college really teaches you to accept Ls and move on. just failed a test? grab a coffee and get over it. didnt turn something in? take a nap and forget about it when you wake up. failed a class? try vodka for that one, Neutral. 
2023-12-3,If you put lebron on a division 3 school. Would they win the natty?, amusement 
2023-12-4,Have a good weekend and don't stress too much over genetics YEAH RIGHT, amusement 
2023-12-5,"to any professor that ends a true/false section with there are an odd number of trues in this true false section i hope you rot, nobody loves you", disapproval
2023-12-6,"Everyone want the flex of going to UVA, but nobody want the UVA work load (this is directed towards me)", Disapproval 
2023-12-5,Are course evaluations anonymous, relief
2023-12-8,This multi exam will be the death of me. Ive accepted my fate., Disappointment
2023-12-9,i hate neuroscience, Disapproval
2023-12-1,2 finals on one day should be illegal, annoyance 
2023-12-9,"I am so done, I am SO done!!! like HOW do I study 25/8 and get THIS in return", Disappointment. 
2023-12-3,Im a silly goose. The silliest little goose., Embarrassment
2023-12-4,what happens if you fail a class here, Disappointment
2023-12-5,got to the library at 7:30 and thought wow ppl got here before me?? but then realized theyve been here all night, surprise
2023-12-6,"if you choose to go to clem 1 with your friends and begin a conversation out loud, respectfully I hope you fail your finals", disapproval
2023-12-9,Idk how ppl can pull all nighters in the library id miss being in control of the thermostat, Disapproval
2023-12-8,is it normal for your roommates bf to be over for 5 days each week?, confusion
2023-12-9,"Any tips on studying for chem 1410? 
Should I make cheat sheets like I did for the first 3 exams or focus on practice problems or what?", curiosity 
2023-12-1,Why does grit coffee genuinely fuck up my stomach every time without fail, Disapproval
2023-12-2,thank you laura serbulea. that final was beautiful., approval
2023-12-3,How are people pulling all-nighters? Like how do you keep your eyes open, Curiosity
2023-12-5,"Guys, if we all just dont show up to our final. They cant fail all of us. Girl math", Disapproval
2023-12-5,Tips for studying for cell bio? I already rewatch all of his lectures and still do bad on exams:(, disappointment
2023-12-6,What is the GPA that gets you on academic probation, fear
2023-12-7,all the study rooms smell like someone hasnt showered in a week, Disgust 
2023-12-8,is got dumplings by the amphitheater or scott stadium?, confusion
2023-12-9,Still going strong on this all nighter. Today i will win, excitement 
2023-12-5,Im dreading the apma 2120 final so much, fear
2023-12-2,do grades round up? like if i have an 82.5 is that an 83?," Relief. 
I have provided you with a single word that is the sentiment of the statement above, where I have assumed the statement to be a question and curious about rounding up grades. 

Let me know if my answer is incorrect or if you would like me to refine my response. "
2023-12-3,Any advice for santuguini microecon 2010 final?, nervousness
2023-12-4,"i kinda get why cso 1 be weeding people out because it is way more complicated than just coding like i took sde this semester and thats been bbq chicken but thats also almost exclusively coding-based, doing binary and assembly shit in cso was harder", Disapproval
2023-12-5,people are either spending 9 hrs in the library or eating sushi and watching movies in matching pjs. theres no in between, Disapproval 
2023-12-6,I do not like that man Dave Kittlesen. I do not like him in a boat. I would not like him in a coat. I do not like that man named Dave., Disapproval
2023-12-7,putting in the work early always pays off this time of year. only need high 70s on my finals to get As, Approval
2023-12-8,can we pls beg daniel to curve i cant take this anymore, Disapproval
2023-12-9,bio more like cryo, sadness 
2023-12-9,Did anyone just see what flew in the sky, Surprise
